patient_id,first_name,last_name,id_number,date_of_birth,gender,province,has_file,file_type
PAT0001,Zanele,Mthembu,9232661995,1952-07-23,male,Gauteng,No,Digital
PAT0002,Thabo,Molefe,7116358629,1961-04-05,F,Western Cape,Yes,
PAT0003,Kagiso,Cele,9578512016,1986-06-09,male,Northern Cape,Yes,Physical
PAT0004,Nandi,Mhlongo,7556928892,1983-05-12,M,Eastern Cape,Yes,Physical
PAT0005,Nandi,Zwane,7233488916,1984-04-26,M,North West,Yes,Digital
PAT0006,Lerato,Zulu,7828995887,1971-12-24,F,North West,No,Digital
PAT0007,Zanele,Molefe,9744305859,1966-10-24,female,Free State,Yes,Digital
PAT0008,Luyanda,Mahlangu,9366856276,1995-07-17,Female,Mpumalanga,Yes,Physical
PAT0009,Sipho,Cele,7490859006,,female,KwaZulu-Natal,Yes,Physical
PAT0010,Thandeka,Mahlangu,9648136463,1963-09-08,M,Mpumalanga,Yes,Physical
PAT0011,Ntombi,Mokoena,8338686258,1951-09-07,female,Limpopo,Yes,Physical
PAT0012,Nomvula,Sithole,8643326892,1958-06-22,male,Mpumalanga,Yes,
PAT0013,Thabo,Dlamini,8347347184,1992-04-26,male,Western Cape,Yes,Digital
PAT0014,Sipho,Nkosi,8834247278,1978-02-23,M,Gauteng,Yes,Physical
PAT0015,Ayanda,Mahlangu,9706374104,1986-11-06,M,KwaZulu-Natal,Yes,
PAT0016,Nandi,Hadebe,7774749996,1967-05-10,female,KwaZulu-Natal,Yes,Physical
PAT0017,Nompumelelo,Zwane,9732109154,1985-09-06,female,Gauteng,Yes,
PAT0018,Phiwayinkosi,Molefe,9017659110,1983-01-05,male,Western Cape,Yes,Physical
PAT0019,Thabo,Mkhize,8584394840,1974-06-26,Female,Limpopo,Yes,Physical
PAT0020,Luyanda,Shabalala,9141218385,1961-07-21,F,Free State,Yes,Physical
PAT0021,Ayanda,Buthelezi,7989077910,1991-06-21,Female,North West,Yes,Physical
PAT0022,Luyanda,Mokoena,7910837938,1976-09-06,M,Free State,Yes,Digital
PAT0023,Ntombi,Ntuli,8192771206,1976-08-02,female,Free State,Yes,Physical
PAT0024,Nandi,Hadebe,9182276977,1961-09-21,Female,North West,Yes,Physical
PAT0025,Mpho,Ntuli,8225108035,1956-10-13,female,Limpopo,Yes,Physical
PAT0026,Thandeka,Mahlangu,9537191863,1966-10-21,Male,Eastern Cape,Yes,Physical
PAT0027,Kagiso,Sithole,9486518408,1977-10-14,male,Northern Cape,Yes,Physical
PAT0028,Thabo,Dlamini,8071606116,1951-12-22,F,Western Cape,Yes,Physical
PAT0029,Bongani,Ndlovu,8107887019,1992-01-19,female,Mpumalanga,Yes,
PAT0030,Ntombi,Shabalala,9115298574,2002-04-19,F,North West,Yes,Digital
PAT0031,Tshepo,Mahlangu,9030837892,1975-05-11,female,Western Cape,Yes,Physical
PAT0032,Kagiso,Mthembu,8983874242,1989-11-04,female,Limpopo,Yes,Physical
PAT0033,Lerato,Mhlongo,9504972059,1998-11-07,F,Free State,Yes,
PAT0034,Ayanda,Mkhize,,1989-03-22,F,Northern Cape,No,
PAT0035,Tshepo,Nkosi,9434084627,1983-07-15,Female,Limpopo,Yes,Digital
PAT0036,Zanele,Ngubane,7260406450,1973-06-22,female,Gauteng,No,Digital
PAT0037,Sipho,Mahlangu,7181486592,1954-08-01,Male,Eastern Cape,Yes,Physical
PAT0038,Sizwe,Ndlovu,7443638392,1985-04-19,Female,North West,Yes,Physical
PAT0039,Zanele,Mkhize,8612532306,1984-04-11,M,Gauteng,No,
PAT0040,Lindiwe,Sithole,8379496864,1966-11-13,M,Gauteng,Yes,
PAT0041,Lindiwe,Mkhize,7220606530,1992-02-09,male,Eastern Cape,No,Digital
PAT0042,Phiwayinkosi,Mhlongo,9260295413,1975-02-21,Male,Limpopo,Yes,Physical
PAT0043,Kagiso,Ngubane,9659931663,1958-09-08,female,Eastern Cape,No,Physical
PAT0044,Nomvula,Zwane,8659398994,1966-01-25,Male,KwaZulu-Natal,Yes,
PAT0045,Mpho,Zulu,7611882495,1992-08-10,M,Limpopo,Yes,Physical
PAT0046,Luyanda,Mkhize,7689414763,1974-07-03,female,Limpopo,Yes,
PAT0047,Zanele,Zwane,7394542291,1952-02-05,Male,Mpumalanga,No,Physical
PAT0048,Sizwe,Mhlongo,7654198554,1993-12-19,F,Western Cape,No,Physical
PAT0049,Sipho,Shabalala,7672734696,1979-06-02,Female,Gauteng,No,
PAT0050,Luyanda,Ngubane,9570521698,1961-03-05,female,Free State,No,Digital
PAT0051,Palesa,Mkhize,9889815737,1993-11-27,F,North West,Yes,Physical
PAT0052,Phiwayinkosi,Mthembu,8129601854,1998-01-10,Female,KwaZulu-Natal,Yes,Physical
PAT0053,Lindiwe,Hadebe,9696377528,2004-01-15,Male,KwaZulu-Natal,Yes,Physical
PAT0054,Thandeka,Mkhize,9575276249,1961-08-19,female,North West,Yes,
PAT0055,Ayanda,Khumalo,9182652707,1957-05-17,male,Northern Cape,Yes,Physical
PAT0056,Sipho,Mahlangu,8257586791,1972-05-22,male,Eastern Cape,Yes,Physical
PAT0057,Nomvula,Khumalo,8574826535,1965-06-08,M,Northern Cape,No,Physical
PAT0058,Nandi,Mhlongo,8949075931,,F,Northern Cape,Yes,
PAT0059,Palesa,Hadebe,8838351202,1961-11-26,female,Mpumalanga,Yes,
PAT0060,Sipho,Mahlangu,8098525218,1990-10-15,F,Western Cape,Yes,Physical
PAT0061,Nandi,Khumalo,9875875389,1981-10-16,Male,North West,Yes,Physical
PAT0062,Zanele,Mkhize,,1956-01-23,male,Gauteng,Yes,Physical
PAT0063,Sizwe,Molefe,7891462930,1975-05-22,F,North West,No,Digital
PAT0064,Kagiso,Cele,8101797287,1956-05-07,M,Gauteng,Yes,Physical
PAT0065,Mpho,Mahlangu,7863033511,1958-03-16,female,Free State,Yes,Physical
PAT0066,Lindiwe,Khumalo,7158091659,1957-02-27,male,Western Cape,No,Digital
PAT0067,Bongani,Zulu,8339848098,1972-02-20,F,Mpumalanga,Yes,Digital
PAT0068,Lindiwe,Zulu,8126487546,1988-03-18,F,North West,Yes,
PAT0069,Lindiwe,Ngubane,7348559338,1991-07-17,female,North West,Yes,Physical
PAT0070,Ayanda,Molefe,8425843911,,M,North West,Yes,Physical
PAT0071,Kagiso,Sithole,9149369680,1993-12-13,Male,Limpopo,Yes,Physical
PAT0072,Sipho,Sithole,7849972959,1983-03-05,M,Western Cape,No,Physical
PAT0073,Phiwayinkosi,Mahlangu,7713967694,1992-08-26,Male,North West,No,Physical
PAT0074,Bongani,Ntuli,9733565736,2004-07-12,Female,Gauteng,Yes,Physical
PAT0075,Luyanda,Sithole,8329759155,1988-08-17,F,Mpumalanga,Yes,Digital
